ident,name,type,latitude_d,longitude_,elevation_,municipali,LLG_Pcode,LLG_Name,Dis_Pcode,District_Name,Prov_Pcode,Prov_name
ABW,Abau Airport,closed,-10.1956,148.7389,10,Abau,PG030103,Cloudy Bay Rural LLG,PG0301,Abau District,PG03,Central Province
AFR,Afore Airstrip,small_airport,-9.142222222,148.3908333,2500,,PG060103,Afore Rural LLG,PG0601,Ijivitari District,PG06,Northern (Oro) Province
PG-0001,Agali Airstrip,small_airport,-5.344377464,142.214241,2750,,PG210515,Lake Kopiago Rural LLG,PG2105,Koroba/Kopiago District,PG21,Hela Province
AUP,Agaun Airport,small_airport,-9.930833,149.385667,3200,,PG050102,Daga Rural LLG,PG0501,Alotau District,PG05,Milne Bay Province
PG-0002,Agotu Airstrip,small_airport,-6.5,145.2413889,5675,Agotu,PG110520,Mt. Michael Rural LLG,PG1105,Lufa District,PG11,Eastern Highlands Province
AIH,Aiambak Airport,small_airport,-7.342777778,141.2675,90,Aiambak,PG010104,Lake Murray Rural LLG,PG0101,Middle Fly District,PG01,Western Province
AIE,Aiome Airport,small_airport,-5.145699978,144.7307003,350,Aiome,PG130307,Arabaka Rural LLG,PG1303,Middle Ramu District,PG13,Madang Province
ATP,Aitape Airport,small_airport,-3.143611111,142.3468056,10,Aitape,PG150101,East Aitape Rural LLG,PG1501,Aitape/Lumi District,PG15,West Sepik (Sandaun) Province
AYU,Aiyura Airport,small_airport,-6.338055556,145.9041667,5355,Aiyura Valley,PG110419,Kamano No. 2 Rural LLG,PG1104,Kainanatu District,PG11,Eastern Highlands Province
PG-0003,Akwom Airstrip,small_airport,-3.94,141.8327778,160,,PG150308,Namea Rural LLG,PG1503,Telefomin District,PG15,West Sepik (Sandaun) Province
PG-0004,Ali Airstrip,small_airport,-7.916666667,142.3391667,80,Ali,PG010103,Gogodala Rural LLG,PG0101,Middle Fly District,PG01,Western Province
AMF,Ama Airport,small_airport,-4.101111111,141.67,145,,PG140104,Tunap/Hustein LLG,PG1401,Ambunti/Drekikier District,PG14,East Sepik Province
AMU,Amanab Airport,small_airport,-3.586,141.2143333,1307,Amanab,PG150412,Amanab Rural LLG,PG1504,Vanimo/Green River District,PG15,West Sepik (Sandaun) Province
AZB,Amazon Bay Airport,small_airport,-10.29916667,149.3383333,12,,PG030101,Amazon Bay Rural LLG,PG0301,Abau District,PG03,Central Province
PG-0013,Ambaluwa Airstrip,small_airport,-5.720277778,144.9211111,6568,Ambulua,PG220407,Kol Rural LLG,PG2204,Jimi District,PG22,Jiwaka Province
PG-0012,Ambua Airstrip,small_airport,-5.962222222,143.0638889,6600,Ambua Lodge - Tari,PG210411,Hulia Rural LLG,PG2104,Komo/Magarima District,PG21,Hela Province
AUJ,Ambunti Airport,small_airport,-4.215666667,142.8231667,50,Ambunti,PG140101,Ambunti Rural LLG,PG1401,Ambunti/Drekikier District,PG14,East Sepik Province
PG-0014,Anangalo Airstrip,small_airport,-4.6,143.8434722,70,,PG140209,Yuat Rural LLG,PG1402,Angoram District,PG14,East Sepik Province
ADC,Andakombe Airport,small_airport,-7.137222222,145.7447222,3600,Andekombe,PG110609,Yelia Rural LLG,PG1106,Obura/Wonenara District,PG11,Eastern Highlands Province
PG-0015,Ande Airstrip,small_airport,-7.020833333,145.8222222,5400,Sindeni,PG110609,Yelia Rural LLG,PG1106,Obura/Wonenara District,PG11,Eastern Highlands Province
PG-0074,Angai Airstrip,small_airport,-7.4021,145.7899,2575,Angai,PG020105,Kotidanga Rural LLG,PG0201,Kerema District,PG02,Gulf Province
AGG,Angoram Airport,small_airport,-4.055833333,144.0738889,75,Angoram,PG140205,Angoram/Middle Sepik LLG,PG1402,Angoram District,PG14,East Sepik Province
PG-AKG,Anguganak Airport,small_airport,-3.560504,142.217307,937,Anguganak,PG150207,Yangkok Rural LLG,PG1502,Nuku District,PG15,West Sepik (Sandaun) Province
AOB,Annanberg Airport,small_airport,-4.904166667,144.6358333,130,,PG130307,Arabaka Rural LLG,PG1303,Middle Ramu District,PG13,Madang Province
PG-0046,Appa Airstrip,small_airport,-6.516759,144.706808,3800,,PG100307,Karimui Rural LLG,PG1003,Karimui/Nomane District,PG10,Chimbu (Simbu) Province
APR,April River Airport,small_airport,-4.676666667,142.5401389,220,April River,PG140104,Tunap/Hustein LLG,PG1401,Ambunti/Drekikier District,PG14,East Sepik Province
ARP,Aragip Airport,small_airport,-9.883333333,149.4833333,1750,,PG050102,Daga Rural LLG,PG0501,Alotau District,PG05,Milne Bay Province
RAW,Arawa Airport,small_airport,-6.220555556,155.5713889,20,Arawa,PG200208,Arawa LLG,PG2002,Central Bougainville District,PG20,Autonomous Region of Bougainville
PG-0077,Arisili Airstrip,closed,-3.55,142.847,1350,Arisili,PG140102,Dreikikier Rural LLG,PG1401,Ambunti/Drekikier District,PG14,East Sepik Province
PG-0047,Arkosame Airstrip,small_airport,-3.777177,142.622672,622,,PG150205,Mawase Rural LLG,PG1502,Nuku District,PG15,West Sepik (Sandaun) Province
PG-0079,Aro Airstrip,small_airport,-7.991,147.24,2200,Aro,PG120102,Waria Rural LLG,PG1201,Bulolo District,PG12,Morobe Province
AOA,Aroa Airport,closed,-9.0254,146.8,20,Agevairu,PG030308,Kairuku Rural LLG,PG0303,Kairuku - Hiri District,PG03,Central Province
AYAU,Arou Airstrip,small_airport,-5.4951,142.5137,4830,Arou,PG210515,Lake Kopiago Rural LLG,PG2105,Koroba/Kopiago District,PG21,Hela Province
PG-0016,Arufi Airstrip,small_airport,-8.753888889,141.9113889,80,Arufi,PG010313,Morehead Rural LLG,PG0103,South Fly District,PG01,Western Province
PG-0017,Asama Airstrip,small_airport,-8.023333333,147.2716667,1800,,PG060208,Kira Rural LLG,PG0602,Sohe District,PG06,Northern (Oro) Province
APP,Asapa Airport,small_airport,-8.979166667,148.1036111,1930,,PG060205,Kokoda Rural LLG,PG0602,Sohe District,PG06,Northern (Oro) Province
AEK,Aseki Airport,small_airport,-7.350804856,146.1938667,4106,Aseki,PG120734,Nanima Kariba LLG,PG1207,Menyamya District,PG12,Morobe Province
PG-0018,Asimba Airstrip,small_airport,-8.605,147.5919444,1170,Asimba,PG060205,Kokoda Rural LLG,PG0602,Sohe District,PG06,Northern (Oro) Province
PG-0056,Asinuwa Airstrip,small_airport,-7.0287,145.7678,5900,Amjenuwa,PG110609,Yelia Rural LLG,PG1106,Obura/Wonenara District,PG11,Eastern Highlands Province
ASZ,Asirim Airport,small_airport,-6.009722222,150.3686111,1050,,PG190101,Gasmata Rural LLG,PG1901,Kandrian/Gloucester District,PG19,West New Britain Province
PG-0019,Assengseng Airstrip,small_airport,-6.023611111,149.7858333,1550,Assengseng,PG190104,Kandrian Inland Rural LLG,PG1901,Kandrian/Gloucester District,PG19,West New Britain Province
ABP,Atkamba Airport,small_airport,-6.065555556,141.0952778,150,Atkamba Mission,PG010206,Kiunga Rural LLG,PG0102,North Fly District,PG01,Western Province
AUI,Aua Island Airport,small_airport,-1.460555556,143.0647222,4,Aua Island,PG160101,Aua Wuvulu LLG,PG1601,Manus District,PG16,Manus Province
AUV,Aumo Airport,small_airport,-5.731111111,148.4452778,450,Aumo,PG190102,Gloucester Rural LLG,PG1901,Kandrian/Gloucester District,PG19,West New Britain Province
PG-0057,Auwi Airstrip,small_airport,-5.51,142.6392,5155,Auwi,PG210514,Awi/Pori Rural LLG,PG2105,Koroba/Kopiago District,PG21,Hela Province
PG-AWB,Awaba Airport,small_airport,-8.006110191,142.7483521,32,Awaba,PG010103,Gogodala Rural LLG,PG0101,Middle Fly District,PG01,Western Province
PG-0080,Awala Airstrip,closed,-9.5487,148.4156,730,Sinua Valley,PG060109,Safia Rural LLG,PG0601,Ijivitari District,PG06,Northern (Oro) Province
AWR,Awar Airport,closed,-4.124,144.853,35,Awar,PG130103,Yawar Rural LLG,PG1301,Bogia District,PG13,Madang Province
PG-0058,Aziana Airstrip,small_airport,-6.7495,145.8535,4250,Aziana Mission,PG110609,Yelia Rural LLG,PG1106,Obura/Wonenara District,PG11,Eastern Highlands Province
PG-0081,Babmo Airstrip,closed,-3.7888,142.9552,290,Babmo Mission,PG140521,North Wosera Rural LLG,PG1405,Wosera Gawi District,PG14,East Sepik Province
BAP,Baibara Airport,closed,-10.3432,149.6414,15,Nabai,PG030101,Amazon Bay Rural LLG,PG0301,Abau District,PG03,Central Province
PG-VMU,Baimuru Airport,medium_airport,-7.496860027,144.8199005,27,Baimuru,PG020207,Baimuru Rural LLG,PG0202,Kikori District,PG02,Gulf Province
PG-0059,Baina Airstrip,small_airport,-6.8918,143.6818,215,Baina,PG020210,West Kikori Rural LLG,PG0202,Kikori District,PG02,Gulf Province
BDZ,Baindoung Airport,small_airport,-6.347222222,146.9422222,4400,,PG120824,Nabak Rural LLG,PG1208,Nawae District,PG12,Morobe Province
AYBB,Bak Airstrip,small_airport,-5.2685,142.097,5440,Bak,PG150309,Oksapmin Rural LLG,PG1503,Telefomin District,PG15,West Sepik (Sandaun) Province
BAJ,Bali Airport,small_airport,-4.883333333,149.1333333,90,Unea Island,PG190207,Bali/Witu Rural LLG,PG1902,Talasea District,PG19,West New Britain Province
PG-OPU,Balimo Airport,medium_airport,-8.050000191,142.9329987,51,Balimo,PG010103,Gogodala Rural LLG,PG0101,Middle Fly District,PG01,Western Province
BCP,Bambu Airport,small_airport,-5.863611111,146.4925,6790,Bambu,PG130418,Rai Coast Rural LLG,PG1304,Rai Coast District,PG13,Madang Province
BMZ,Bamu Airport,small_airport,-7.8485,143.2433,50,Bamu,PG010102,Bamu Rural LLG,PG0101,Middle Fly District,PG01,Western Province
PG-0045,Bank Airstrip,small_airport,-5.364495,144.689805,3953,Bank,PG130619,Gama  Rural LLG,PG1306,Usino Bundi District,PG13,Madang Province
BNZ,Banz Airport,closed,-5.807,144.623,5150,Banz,PG220611,North Waghi Rural LLG,PG2206,North Waghi District,PG22,Jiwaka Province
PG-0020,Bapi Airstrip,small_airport,-7.743611111,147.0205556,2930,Bapi,PG120102,Waria Rural LLG,PG1201,Bulolo District,PG12,Morobe Province
PG-0073,Basikuna Airstrip,small_airport,-6.4445,155.6832,1870,Basikuna,PG200208,Arawa LLG,PG2002,Central Bougainville District,PG20,Autonomous Region of Bougainville
AYBT,Batri Airstrip,small_airport,-6.5522,143.9441,4510,Batri,PG070308,Erave Rural LLG,PG0703,Kagua/Erave District,PG07,Southern Highlands Province
BWJ,Bawan Airport,small_airport,-6.396944444,146.8816667,4700,,PG120825,Wain-Erap Rural LLG,PG1208,Nawae District,PG12,Morobe Province
AYBS,Begesin Airstrip,small_airport,-5.3889,145.4472,980,Begesin,PG130616,Usino Rural LLG,PG1306,Usino Bundi District,PG13,Madang Province
PG-0021,Benaria Airstrip,small_airport,-6.058888889,143.0338889,4960,Tamide Mission,PG210411,Hulia Rural LLG,PG2104,Komo/Magarima District,PG21,Hela Province
BSP,Bensbach Airport,small_airport,-8.858055556,141.2594444,30,Bensbach,PG010313,Morehead Rural LLG,PG0103,South Fly District,PG01,Western Province
BEA,Bereina Airport,closed,-8.64,146.5083,58,Bereina Mission,PG030308,Kairuku Rural LLG,PG0303,Kairuku - Hiri District,PG03,Central Province
PG-0061,Berry Airfield,closed,-9.388829,147.245228,115,Port Moresby,PG040101,National Capital District,PG0401,National Capital District,PG04,National Capital District
BWP,Bewani Airport,small_airport,-3.021666667,141.1652778,550,Bewani,PG150413,Bewani/Wutung Onei Rural LLG,PG1504,Vanimo/Green River District,PG15,West Sepik (Sandaun) Province
PG-BAA,Bialla Airport,small_airport,-5.330560207,151.0079956,51,"Bialla, Matalilu, Ewase",PG190206,Bialla Rural LLG,PG1902,Talasea District,PG19,West New Britain Province
PG-0022,Biangabip Airport,small_airport,-5.526388889,141.7445833,1069,Biangabip,PG010209,Olsobip Rural LLG,PG0102,North Fly District,PG01,Western Province
AYBR,Biaru Airport,small_airport,-7.6693,146.7594,4900,Biaru,PG120105,Wau Rural LLG,PG1201,Bulolo District,PG12,Morobe Province
PG-0023,Bili Airstrip,small_airport,-5.667222222,151.0994444,2600,Bili,PG180314,West Pomio/Mamusi Rural LLG,PG1803,Pomio District,PG18,East New Britain Province
BIJ,Biliau Airport,closed,-5.578,146.339,50,Biliau,PG130412,Rai Coast Rural LLG,PG1304,Rai Coast District,PG13,Madang Province
BIZ,Bimin Airport,closed,-5.286111111,142.0330556,5775,,PG150309,Oksapmin Rural LLG,PG1503,Telefomin District,PG15,West Sepik (Sandaun) Province
XBN,Biniguni Airport,small_airport,-9.6425,149.3038889,215,Biniguni,PG050101,Makamaka Rural LLG,PG0501,Alotau District,PG05,Milne Bay Province
PG-0025,Bisorio Airstrip,small_airport,-4.721666667,142.9772222,160,,PG140206,Karawari Rural LLG,PG1402,Angoram District,PG14,East Sepik Province
AYBW,Blackwara Airport,small_airport,-2.618211,141.091971,58,,PG150413,Bewani/Wutung Onei Rural LLG,PG1504,Vanimo/Green River District,PG15,West Sepik (Sandaun) Province
BNV,Boana Airport,closed,-6.433,146.825,2950,Boana,PG120825,Wain-Erap Rural LLG,PG1208,Nawae District,PG12,Morobe Province
BOV,Boang Airport,small_airport,-3.3834,153.2812,85,Boang Island,PG170208,Tanir Rural LLG,PG1702,Namatanai District,PG17,New Ireland Province
BNM,Bodinumu Airport,small_airport,-9.107777778,147.6667222,3700,Bodinumu,PG030309,Koiari Rural LLG,PG0303,Kairuku - Hiri District,PG03,Central Province
PG-0026,Boikoa Airstrip,small_airport,-7.038611111,145.7341667,4816,Boikoa,PG110609,Yelia Rural LLG,PG1106,Obura/Wonenara District,PG11,Eastern Highlands Province
BOQ,Boku Airport,closed,-6.5427,155.3419,225,Boku,PG200311,Bana LLG,PG2003,South Bougainville District,PG20,Autonomous Region of Bougainville
BVP,Bolovip Airstrip,closed,-5.3633,141.655,4990,Bolovip,PG010209,Olsobip Rural LLG,PG0102,North Fly District,PG01,Western Province
BMH,Bomai Airport,small_airport,-6.373166667,144.637,3300,Bomai,PG100307,Karimui Rural LLG,PG1003,Karimui/Nomane District,PG10,Chimbu (Simbu) Province
PG-0027,Bosavi Airstrip,small_airport,-6.461666667,142.8411111,2350,Ludesa Mission,PG070723,Mt Bosavi Rural LLG,PG0707,Nipa/Kutubu District,PG07,Southern Highlands Province
BOT,Bosset Airport,small_airport,-7.237257,141.1063222,80,Bosset,PG010104,Lake Murray Rural LLG,PG0101,Middle Fly District,PG01,Western Province
PG-0028,Boure Airstrip,small_airport,-9.617916667,148.7458333,530,Boure,PG060109,Safia Rural LLG,PG0601,Ijivitari District,PG06,Northern (Oro) Province
AYUG,Brugam Airstrip,small_airport,-3.6381,142.8379,595,Wa'ahun,PG140311,Bumbita/Muhian Rural LLG,PG1403,Maprik District,PG14,East Sepik Province
UBI,Buin Airport,small_airport,-6.729166667,155.6833333,230,Buin,PG200309,Buin LLG,PG2003,South Bougainville District,PG20,Autonomous Region of Bougainville
AYBK,Buka Airport,medium_airport,-5.422319889,154.6730042,11,Buka Island,PG200104,Buka LLG,PG2001,North Bougainville District,PG20,Autonomous Region of Bougainville
BUL,Bulolo Airport,small_airport,-7.216286671,146.6495419,2240,Bulolo,PG120104,Wau/Bulolo Urban LLG,PG1201,Bulolo District,PG12,Morobe Province
AYXB,Buluwo Airstrip,small_airport,-3.6753,142.0151,600,Buluwo,PG150102,East Wapei Rural LLG,PG1501,Aitape/Lumi District,PG15,West Sepik (Sandaun) Province
AYUN,Bunam Airstrip,small_airport,-4.6564,144.2517,48,Bunam,PG140207,Keram Rural LLG,PG1402,Angoram District,PG14,East Sepik Province
BNT,Bundi Airport,small_airport,-5.742222222,145.2275,4400,Bundi,PG130615,Bundi Rural LLG,PG1306,Usino Bundi District,PG13,Madang Province
AYUT,Bunguwat Airstrip,small_airport,-6.005,146.7205,5740,Bunguwat,PG120414,Yus Rural LLG,PG1204,Kabwum District,PG12,Morobe Province
BXZ,Bunsil Airport,small_airport,-5.7243,147.8667,201,Bunsil - Umboi Island,PG120927,Siassi Rural LLG,PG1209,Tawae/Siassi District,PG12,Morobe Province
AYIN,Busilmin Airstrip,small_airport,-4.9166,141.1548,5450,Busilmin,PG150311,Yapsie Rural LLG,PG1503,Telefomin District,PG15,West Sepik (Sandaun) Province
PG-0060,Bu'u Airstrip,small_airport,-7.4011,145.8149,3950,Bu'u,PG020105,Kotidanga Rural LLG,PG0201,Kerema District,PG02,Gulf Province
CGC,Cape Gloucester Airport,small_airport,-5.458965,148.432417,78,Cape Gloucester,PG190102,Gloucester Rural LLG,PG1901,Kandrian/Gloucester District,PG19,West New Britain Province
PG-0005,Cape Rodney Airport,small_airport,-10.179823,148.3790302,22,Cape Rodney,PG030102,Aroma Rural LLG,PG0301,Abau District,PG03,Central Province
CVL,Cape Vogel Airport,small_airport,-9.67,150.0197222,20,,PG050101,Makamaka Rural LLG,PG0501,Alotau District,PG05,Milne Bay Province
AYCH,Chimbu Airport,medium_airport,-6.024290085,144.970993,4974,Kundiawa,PG100513,Kundiawa Urban LLG,PG1005,Kundiawa/Gembogl District,PG10,Chimbu (Simbu) Province
SQT,China Strait Airstrip,small_airport,-10.56277778,150.6906944,10,Samarai Island,PG050208,Bwanabwana Rural LLG,PG0502,Samarai-Murua District,PG05,Milne Bay Province
PG-CVB,Chungribu Airport,small_airport,-4.806620121,144.7149963,130,Chungribu,PG130307,Arabaka Rural LLG,PG1303,Middle Ramu District,PG13,Madang Province
DAO,Dabo Airport,small_airport,-8.431944444,147.8430556,118,,PG060207,Tamata Rural LLG,PG0602,Sohe District,PG06,Northern (Oro) Province
PG-0032,Dahamo Airstrip,small_airport,-5.753194444,141.9936111,460,Dahamo Village,PG010209,Olsobip Rural LLG,PG0102,North Fly District,PG01,Western Province
AYDU,Daru Airport,medium_airport,-9.086759567,143.2079926,20,Daru,PG010311,Kiwai Rural LLG,PG0103,South Fly District,PG01,Western Province
DAF,Daup Airport,small_airport,-4.7403,145.9515,280,,PG130513,Karkar Rural LLG,PG1305,Sumkar District,PG13,Madang Province
DBP,Debepare Airport,small_airport,-6.308611111,141.9055556,360,Debepare,PG010105,Nomad Rural LLG,PG0101,Middle Fly District,PG01,Western Province
DER,Derim Airport,small_airport,-6.144722222,147.1072222,4850,Derim,PG120412,Deyamos Rural LLG,PG1204,Kabwum District,PG12,Morobe Province
AYDW,Dewara Airstrip,small_airport,-8.3802,142.4475,25,Dewara,PG010313,Morehead Rural LLG,PG0103,South Fly District,PG01,Western Province
AYDQ,Dimisisi Airstrip,small_airport,-8.6298,142.2162,166,Dimisisi,PG010313,Morehead Rural LLG,PG0103,South Fly District,PG01,Western Province
AYDN,Dinangat Airport,small_airport,-6.1546,146.6772,5309,Dinangat,PG120414,Yus Rural LLG,PG1204,Kabwum District,PG12,Morobe Province
