ident,name,type,latitude_d,longitude_,elevation_,LLG_Name,District_Name,Prov_name,Surveyed,strip_type,takeoff_direction,season,width,length,slope,co_ords,elevation_pb,elevation_th,spl_hz,spl_side,spl2_hz,spl2_side,side_slp,clw_1,clw_2,clw_3,clw2_1,clw2_2,clw2_3,dist_obst,dist2_obst,dsc,dsc2,surf_cvr,soil_typ,soil_moist,surf_hdn,surf_rgh,surf_und,surf_com,wind_pr,wind_set,wind_cond,cone_1,cone_2,cone_no,cone_wt,cone_yl,oth_com
ABW,Abau Airport,closed,-10.1956,148.7389,10,Cloudy Bay Rural LLG,Abau District,Central Province,Yes,One Way,265,Wet,31,537,5.5,"S 04 Deg 55.161 Min, E 143 Deg 09.659 Min",2439 ft,2419 ft,yes,yes,,,yes,yes,yes,yes,,,,10 m,,Thick tree cover,,short grass,fine-grain soil (silt/clay),dry,medium,smooth,minor undulation,mostly covered in grass. However towards the end of line up the area is bare,yes,complying,adequate,yes,no,24,,,parking bay is soft and needs maintenance work on the drain
AFR,Afore Airstrip,small_airport,-9.142222222,148.3908333,2500,Afore Rural LLG,Ijivitari District,Northern (Oro) Province,Yes,One Way,300,Wet,34,555,3,,2000 ft,1000 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0001,Agali Airstrip,small_airport,-5.344377464,142.214241,2750,Lake Kopiago Rural LLG,Koroba/Kopiago District,Hela Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUP,Agaun Airport,small_airport,-9.930833,149.385667,3200,Daga Rural LLG,Alotau District,Milne Bay Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0002,Agotu Airstrip,small_airport,-6.5,145.2413889,5675,Mt. Michael Rural LLG,Lufa District,Eastern Highlands Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIH,Aiambak Airport,small_airport,-7.342777778,141.2675,90,Lake Murray Rural LLG,Middle Fly District,Western Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIE,Aiome Airport,small_airport,-5.145699978,144.7307003,350,Arabaka Rural LLG,Middle Ramu District,Madang Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP,Aitape Airport,small_airport,-3.143611111,142.3468056,10,East Aitape Rural LLG,Aitape/Lumi District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYU,Aiyura Airport,small_airport,-6.338055556,145.9041667,5355,KamaNo No. 2 Rural LLG,Kainanatu District,Eastern Highlands Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0003,Akwom Airstrip,small_airport,-3.94,141.8327778,160,Namea Rural LLG,Telefomin District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0004,Ali Airstrip,small_airport,-7.916666667,142.3391667,80,Gogodala Rural LLG,Middle Fly District,Western Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMF,Ama Airport,small_airport,-4.101111111,141.67,145,Tunap/Hustein LLG,Ambunti/Drekikier District,East Sepik Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMU,Amanab Airport,small_airport,-3.586,141.2143333,1307,Amanab Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZB,Amazon Bay Airport,small_airport,-10.29916667,149.3383333,12,Amazon Bay Rural LLG,Abau District,Central Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0013,Ambaluwa Airstrip,small_airport,-5.720277778,144.9211111,6568,Kol Rural LLG,Jimi District,Jiwaka Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0012,Ambua Airstrip,small_airport,-5.962222222,143.0638889,6600,Hulia Rural LLG,Komo/Magarima District,Hela Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUJ,Ambunti Airport,small_airport,-4.215666667,142.8231667,50,Ambunti Rural LLG,Ambunti/Drekikier District,East Sepik Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0014,Anangalo Airstrip,small_airport,-4.6,143.8434722,70,Yuat Rural LLG,Angoram District,East Sepik Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,Andakombe Airport,small_airport,-7.137222222,145.7447222,3600,Yelia Rural LLG,Obura/Wonenara District,Eastern Highlands Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
